Suburb,State,Price,Growth 5Y %,Pop Growth %,Yield %,Vacancy %,Land Size,Reno,Granny Flat,Investment Score
Loganlea,QLD,489000,35.1,13.5,5.8,1.0,620,Yes,Yes,17.7
Caboolture,QLD,475000,28.4,10.2,5.4,1.2,650,Yes,Yes,16.9
Beenleigh,QLD,495000,25.9,8.4,5.2,1.4,610,Yes,Yes,16.2
Mount Barker,SA,480000,40.2,14.2,4.7,0.9,700,Yes,Yes,19.6
Whyalla,SA,310000,22.3,5.5,6.0,0.7,620,Yes,Yes,14.4
Orange,NSW,495000,33.7,10.1,5.1,1.3,630,Yes,Yes,16.2
Dubbo,NSW,500000,30.4,8.3,4.9,1.1,640,Yes,Yes,15.6
Wagga Wagga,NSW,460000,29.1,7.9,5.3,1.6,610,Yes,Yes,14.2
Toowoomba City,QLD,470000,27.3,9.2,5.2,1.5,600,Yes,Yes,13.9
Ballarat,VIC,485000,31.5,10.4,4.8,1.2,615,Yes,Yes,15.3
